reestr_number,href,stage,description,price,order_number
2352524929721000027,/epz/contract/contractCard/common-info.html?reestrNumber=2352524929721000027,Исполнение завершено,"№ 
                                        
                                        19/06-03/21","3 895 000,00 ₽",130200002421000001
3743100011021000001,/epz/contract/contractCard/common-info.html?reestrNumber=3743100011021000001,Исполнение,"№ 
                                        
                                        01693000284210000070001","1 778 454,50 ₽",169300028421000007
2682901896321000001,/epz/contract/contractCard/common-info.html?reestrNumber=2682901896321000001,Исполнение завершено,"№ 
                                        
                                        0164200003021000001_47175","2 650 000,00 ₽",164200003021000001
2920400284521000003,/epz/contract/contractCard/common-info.html?reestrNumber=2920400284521000003,Исполнение завершено,"№ 
                                        
                                        4","18 483 333,33 ₽",174200002021000001
2920400284521000004,/epz/contract/contractCard/common-info.html?reestrNumber=2920400284521000004,Исполнение завершено,"№ 
                                        
                                        5","5 199 900,00 ₽",174200002021000002
3744300651921000001,/epz/contract/contractCard/common-info.html?reestrNumber=3744300651921000001,Исполнение,"№ 
                                        
                                        2","647 937,40 ₽",169300028821000001
3668400603021000016,/epz/contract/contractCard/common-info.html?reestrNumber=3668400603021000016,Исполнение,"№ 
                                        
                                        0162300017921000009-0491415-01","256 916,11 ₽",162300017921000009
1770216661021000012,/epz/contract/contractCard/common-info.html?reestrNumber=1770216661021000012,Исполнение завершено,"№ 
                                        
                                        16-04р-21-2810","20 150 000,00 ₽",173100008721000001
1771054903821000002,/epz/contract/contractCard/common-info.html?reestrNumber=1771054903821000002,Исполнение прекращено,"№ 
                                        
                                        П33-1-26/4","9 434 000,00 ₽",173100000421000009
2032335164821000007,/epz/contract/contractCard/common-info.html?reestrNumber=2032335164821000007,Исполнение завершено,"№ 
                                        
                                        25","199 900,00 ₽",302200030421000001
1263480105021000019,/epz/contract/contractCard/common-info.html?reestrNumber=1263480105021000019,Исполнение,"№ 
                                        
                                        02-2021","1 047 650,00 ₽",321100031821000001
1771016830721000035,/epz/contract/contractCard/common-info.html?reestrNumber=1771016830721000035,Исполнение завершено,"№ 
                                        
                                        36/1П-2021","20 612 953,21 ₽",348100010521000001
3660201277321000007,/epz/contract/contractCard/common-info.html?reestrNumber=3660201277321000007,Исполнение,"№ 
                                        
                                        06-18","845 900,00 ₽",362300210921000001
1770656053621000017,/epz/contract/contractCard/common-info.html?reestrNumber=1770656053621000017,Исполнение,"№ 
                                        
                                        0001-10-21","25 500 000,00 ₽",173100010921000001
1771016830721000033,/epz/contract/contractCard/common-info.html?reestrNumber=1771016830721000033,Исполнение завершено,"№ 
                                        
                                        34/1П-2021","8 565 348,00 ₽",348100010521000003
1770656053621000012,/epz/contract/contractCard/common-info.html?reestrNumber=1770656053621000012,Исполнение,"№ 
                                        
                                        0002-16-21","13 980 000,00 ₽",173100010921000002
1772281424121000037,/epz/contract/contractCard/common-info.html?reestrNumber=1772281424121000037,Исполнение,"№ 
                                        
                                        09-ОКЭФ/2021","43 766 000,00 ₽",373100132421000001
1771016830721000034,/epz/contract/contractCard/common-info.html?reestrNumber=1771016830721000034,Исполнение завершено,"№ 
                                        
                                        35/1П-2021","25 156 707,00 ₽",348100010521000004
1770656053621000013,/epz/contract/contractCard/common-info.html?reestrNumber=1770656053621000013,Исполнение,"№ 
                                        
                                        0003-10-21","12 000 000,00 ₽",173100010921000003
1772281424121000035,/epz/contract/contractCard/common-info.html?reestrNumber=1772281424121000035,Исполнение,"№ 
                                        
                                        02-ОКЭФ/2021","225 650 000,00 ₽",373100132421000002
2352524929721000019,/epz/contract/contractCard/common-info.html?reestrNumber=2352524929721000019,Исполнение,"№ 
                                        
                                        10/06-03/21","6 500 000,00 ₽",130200002421000004
2771087800021000024,/epz/contract/contractCard/common-info.html?reestrNumber=2771087800021000024,Исполнение,"№ 
                                        
                                        ГК 6401/21-3727","225 000 000,00 ₽",173200001421000015
2770135608621000032,/epz/contract/contractCard/common-info.html?reestrNumber=2770135608621000032,Исполнение,"№ 
                                        
                                        29/03/21","189 677 071,92 ₽",173200001421000016
2623417975621000028,/epz/contract/contractCard/common-info.html?reestrNumber=2623417975621000028,Исполнение завершено,"№ 
                                        
                                        13/01/8","6 220 000,00 ₽",859200001121000003
2770135608621000027,/epz/contract/contractCard/common-info.html?reestrNumber=2770135608621000027,Исполнение завершено,"№ 
                                        
                                        28/02/21","14 761 060,93 ₽",373200640921000001
2230805126621000034,/epz/contract/contractCard/common-info.html?reestrNumber=2230805126621000034,Исполнение завершено,"№ 
                                        
                                        119","156 986,00 ₽",818200000221000001
3861901488521000032,/epz/contract/contractCard/common-info.html?reestrNumber=3861901488521000032,Исполнение завершено,"№ 
                                        
                                        01873000017210000010001","645 000,00 ₽",187300001721000001
1720203164621000006,/epz/contract/contractCard/common-info.html?reestrNumber=1720203164621000006,Исполнение,"№ 
                                        
                                        1-ЭА/2021","233 236,67 ₽",367100002521000001
2623411959521000002,/epz/contract/contractCard/common-info.html?reestrNumber=2623411959521000002,Исполнение,"№ 
                                        
                                        13/2021","8 012 900,00 ₽",859200001121000019
1770153780821000023,/epz/contract/contractCard/common-info.html?reestrNumber=1770153780821000023,Исполнение,"№ 
                                        
                                        Ф-07-кс-2021","36 260 000,00 ₽",173100003121000001
2551700675221000007,/epz/contract/contractCard/common-info.html?reestrNumber=2551700675221000007,Исполнение,"№ 
                                        
                                        Ф.2021.1","136 194,00 ₽",352200023921000001
2770135608621000036,/epz/contract/contractCard/common-info.html?reestrNumber=2770135608621000036,Исполнение завершено,"№ 
                                        
                                        32/03/21","108 800 000,00 ₽",173200001421000029
2553000273221000009,/epz/contract/contractCard/common-info.html?reestrNumber=2553000273221000009,Исполнение,"№ 
                                        
                                        Ф.2021.4","146 904,00 ₽",352200016721000001
2770176553021000002,/epz/contract/contractCard/common-info.html?reestrNumber=2770176553021000002,Исполнение,"№ 
                                        
                                        5/2021","1 900 000,00 ₽",373200007921000001
2771482395821000010,/epz/contract/contractCard/common-info.html?reestrNumber=2771482395821000010,Исполнение,"№ 
                                        
                                        69-Р-020/21","225 000 000,00 ₽",173200001421000031
2502413870521000006,/epz/contract/contractCard/common-info.html?reestrNumber=2502413870521000006,Исполнение,"№ 
                                        
                                        10/21","771 135,20 ₽",348200085321000004
2332810307321000003,/epz/contract/contractCard/common-info.html?reestrNumber=2332810307321000003,Исполнение,"№ 
                                        
                                        0128200000121000058","1 541 400,00 ₽",128200000121000058
2470312595621000013,/epz/contract/contractCard/common-info.html?reestrNumber=2470312595621000013,Исполнение завершено,"№ 
                                        
                                        31374","900 000,00 ₽",845200000321000001
2890101721221000008,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000008,Исполнение завершено,"№ 
                                        
                                        11-2021","12 977 008,90 ₽",190200000321000349
3525300026521000009,/epz/contract/contractCard/common-info.html?reestrNumber=3525300026521000009,Исполнение завершено,"№ 
                                        
                                        0132300007521000017_80305","2 007 000,00 ₽",132300007521000017
3861901488521000031,/epz/contract/contractCard/common-info.html?reestrNumber=3861901488521000031,Исполнение,"№ 
                                        
                                        01873000017210000040001","4 893 144,00 ₽",187300001721000004
2552700777021000004,/epz/contract/contractCard/common-info.html?reestrNumber=2552700777021000004,Исполнение,"№ 
                                        
                                        1/2021","136 194,00 ₽",352200003321000001
2770135608621000033,/epz/contract/contractCard/common-info.html?reestrNumber=2770135608621000033,Исполнение завершено,"№ 
                                        
                                        31/03/21","59 358 421,03 ₽",173200001421000042
2710751501221000001,/epz/contract/contractCard/common-info.html?reestrNumber=2710751501221000001,Исполнение прекращено,"№ 
                                        
                                        2","2 369 250,00 ₽",866200000121000001
1772200082021000045,/epz/contract/contractCard/common-info.html?reestrNumber=1772200082021000045,Исполнение завершено,"№ 
                                        
                                        2ЭА44-2021","2 807 900,00 ₽",373100070621000002
2701724921421000025,/epz/contract/contractCard/common-info.html?reestrNumber=2701724921421000025,Исполнение,"№ 
                                        
                                        1244","7 550 000,00 ₽",865200000321000088
2890101721221000010,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000010,Исполнение завершено,"№ 
                                        
                                        14-2021","90 116,00 ₽",190200000321001065
2575300721221000094,/epz/contract/contractCard/common-info.html?reestrNumber=2575300721221000094,Исполнение завершено,"№ 
                                        
                                        Ф.2021.0084","5 000 000,00 ₽",154200000721000084
1771053836421000007,/epz/contract/contractCard/common-info.html?reestrNumber=1771053836421000007,Исполнение,"№ 
                                        
                                        16-юр","17 200 000,00 ₽",173100008521000005
2532102626421000001,/epz/contract/contractCard/common-info.html?reestrNumber=2532102626421000001,Исполнение,"№ 
                                        
                                        3-2021","395 000,00 ₽",150200003921000087
1254002991421000034,/epz/contract/contractCard/common-info.html?reestrNumber=1254002991421000034,Исполнение,"№ 
                                        
                                        25007/21","404 702,40 ₽",120100008021000007
1695012798321000080,/epz/contract/contractCard/common-info.html?reestrNumber=1695012798321000080,Исполнение завершено,"№ 
                                        
                                        0136100012621000100001","110 000,00 ₽",136100012621000010
2860402682421000009,/epz/contract/contractCard/common-info.html?reestrNumber=2860402682421000009,Исполнение,"№ 
                                        
                                        0187200001721000073","1 700 000,00 ₽",187200001721000073
1770640629121000034,/epz/contract/contractCard/common-info.html?reestrNumber=1770640629121000034,Исполнение,"№ 
                                        
                                        140-36/2021","10 464 200,00 ₽",173100009221000021
2745131093921000007,/epz/contract/contractCard/common-info.html?reestrNumber=2745131093921000007,Исполнение завершено,"№ 
                                        
                                        Ф.2021.0334","14 572 000,00 ₽",869200000221000334
3434800553421000027,/epz/contract/contractCard/common-info.html?reestrNumber=3434800553421000027,Исполнение завершено,"№ 
                                        
                                        01403000408210000880001","228 000,00 ₽",140300040821000088
2890101721221000011,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000011,Исполнение завершено,"№ 
                                        
                                        15-2021","13 016 000,00 ₽",190200000321001283
2745131093921000002,/epz/contract/contractCard/common-info.html?reestrNumber=2745131093921000002,Исполнение завершено,"№ 
                                        
                                        Ф.2021.0362","1 546 000,00 ₽",869200000221000362
2781012035521000003,/epz/contract/contractCard/common-info.html?reestrNumber=2781012035521000003,Исполнение,"№ 
                                        
                                        03722002160210000020001","211 120,00 ₽",372200216021000002
3245100084021000022,/epz/contract/contractCard/common-info.html?reestrNumber=3245100084021000022,Исполнение завершено,"№ 
                                        
                                        31","100 000,00 ₽",119300019821000251
3025001030821000006,/epz/contract/contractCard/common-info.html?reestrNumber=3025001030821000006,Исполнение,"№ 
                                        
                                        0801300012121000003_147411","163 600,00 ₽",801300012121000003
1770640629121000037,/epz/contract/contractCard/common-info.html?reestrNumber=1770640629121000037,Исполнение,"№ 
                                        
                                        140-34/2021","6 800 000,00 ₽",173100009221000023
2771921079321000077,/epz/contract/contractCard/common-info.html?reestrNumber=2771921079321000077,Исполнение прекращено,"№ 
                                        
                                        107-21-ЭА","161 500,00 ₽",873500000821000572
3235204541621000001,/epz/contract/contractCard/common-info.html?reestrNumber=3235204541621000001,Исполнение завершено,"№ 
                                        
                                        03183000088210000610001","300 000,00 ₽",318300008821000061
2420521406421000006,/epz/contract/contractCard/common-info.html?reestrNumber=2420521406421000006,Исполнение,"№ 
                                        
                                        22-ЭА","5 656 500,00 ₽",139200000121000923
2165542739521000039,/epz/contract/contractCard/common-info.html?reestrNumber=2165542739521000039,Исполнение завершено,"№ 
                                        
                                        2021.005","6 331 930,00 ₽",811500001121000005
3665837473621000041,/epz/contract/contractCard/common-info.html?reestrNumber=3665837473621000041,Исполнение,"№ 
                                        
                                        103-09/44РН","2 700 000,00 ₽",162300005321000259
1771358337221000012,/epz/contract/contractCard/common-info.html?reestrNumber=1771358337221000012,Исполнение,"№ 
                                        
                                        0348100082721000015","164 312,00 ₽",348100082721000015
2773141945621000056,/epz/contract/contractCard/common-info.html?reestrNumber=2773141945621000056,Исполнение завершено,"№ 
                                        
                                        0373200597221000011_295062","2 885 440,36 ₽",373200597221000011
1770584623621000008,/epz/contract/contractCard/common-info.html?reestrNumber=1770584623621000008,Исполнение,"№ 
                                        
                                        0173100013821000002","14 800 000,00 ₽",173100013821000002
2770963906121000003,/epz/contract/contractCard/common-info.html?reestrNumber=2770963906121000003,Исполнение завершено,"№ 
                                        
                                        К/21-7","1 500 000,00 ₽",373200077921000001
2770963906121000004,/epz/contract/contractCard/common-info.html?reestrNumber=2770963906121000004,Исполнение,"№ 
                                        
                                        К/21-8","2 500 000,00 ₽",373200077921000002
2970512610421000058,/epz/contract/contractCard/common-info.html?reestrNumber=2970512610421000058,Исполнение завершено,"№ 
                                        
                                        ЭК-15/04/21/1-МСКР","399 733 711,32 ₽",173200001421000198
2771482395821000014,/epz/contract/contractCard/common-info.html?reestrNumber=2771482395821000014,Исполнение завершено,"№ 
                                        
                                        69-Р-036/21","40 595 900,00 ₽",873500000621000004
3222100318721000007,/epz/contract/contractCard/common-info.html?reestrNumber=3222100318721000007,Исполнение завершено,"№ 
                                        
                                        0317300301921000137","495 000,00 ₽",317300301921000137
2590600258121000004,/epz/contract/contractCard/common-info.html?reestrNumber=2590600258121000004,Исполнение завершено,"№ 
                                        
                                        16/2021-02","300 000,00 ₽",156200000921000003
2344416428521000007,/epz/contract/contractCard/common-info.html?reestrNumber=2344416428521000007,Исполнение,"№ 
                                        
                                        29-21","1 300 000,00 ₽",129200005321000249
