reestr_number,href,stage,description,price,order_number
1772200082021000045,/epz/contract/contractCard/common-info.html?reestrNumber=1772200082021000045,Исполнение завершено,"№ 
                                        
                                        2ЭА44-2021","2 807 900,00 ₽",373100070621000002
2701724921421000025,/epz/contract/contractCard/common-info.html?reestrNumber=2701724921421000025,Исполнение,"№ 
                                        
                                        1244","7 550 000,00 ₽",865200000321000088
2890101721221000010,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000010,Исполнение завершено,"№ 
                                        
                                        14-2021","90 116,00 ₽",190200000321001065
2575300721221000094,/epz/contract/contractCard/common-info.html?reestrNumber=2575300721221000094,Исполнение завершено,"№ 
                                        
                                        Ф.2021.0084","5 000 000,00 ₽",154200000721000084
1771053836421000007,/epz/contract/contractCard/common-info.html?reestrNumber=1771053836421000007,Исполнение,"№ 
                                        
                                        16-юр","17 200 000,00 ₽",173100008521000005
2532102626421000001,/epz/contract/contractCard/common-info.html?reestrNumber=2532102626421000001,Исполнение,"№ 
                                        
                                        3-2021","395 000,00 ₽",150200003921000087
1254002991421000034,/epz/contract/contractCard/common-info.html?reestrNumber=1254002991421000034,Исполнение,"№ 
                                        
                                        25007/21","404 702,40 ₽",120100008021000007
1695012798321000080,/epz/contract/contractCard/common-info.html?reestrNumber=1695012798321000080,Исполнение завершено,"№ 
                                        
                                        0136100012621000100001","110 000,00 ₽",136100012621000010
2860402682421000009,/epz/contract/contractCard/common-info.html?reestrNumber=2860402682421000009,Исполнение,"№ 
                                        
                                        0187200001721000073","1 700 000,00 ₽",187200001721000073
1770640629121000034,/epz/contract/contractCard/common-info.html?reestrNumber=1770640629121000034,Исполнение,"№ 
                                        
                                        140-36/2021","10 464 200,00 ₽",173100009221000021
2745131093921000007,/epz/contract/contractCard/common-info.html?reestrNumber=2745131093921000007,Исполнение завершено,"№ 
                                        
                                        Ф.2021.0334","14 572 000,00 ₽",869200000221000334
3434800553421000027,/epz/contract/contractCard/common-info.html?reestrNumber=3434800553421000027,Исполнение завершено,"№ 
                                        
                                        01403000408210000880001","228 000,00 ₽",140300040821000088
2890101721221000011,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000011,Исполнение завершено,"№ 
                                        
                                        15-2021","13 016 000,00 ₽",190200000321001283
2745131093921000002,/epz/contract/contractCard/common-info.html?reestrNumber=2745131093921000002,Исполнение завершено,"№ 
                                        
                                        Ф.2021.0362","1 546 000,00 ₽",869200000221000362
2781012035521000003,/epz/contract/contractCard/common-info.html?reestrNumber=2781012035521000003,Исполнение,"№ 
                                        
                                        03722002160210000020001","211 120,00 ₽",372200216021000002
3245100084021000022,/epz/contract/contractCard/common-info.html?reestrNumber=3245100084021000022,Исполнение завершено,"№ 
                                        
                                        31","100 000,00 ₽",119300019821000251
3025001030821000006,/epz/contract/contractCard/common-info.html?reestrNumber=3025001030821000006,Исполнение,"№ 
                                        
                                        0801300012121000003_147411","163 600,00 ₽",801300012121000003
