reestr_number,href,stage,description,price,order_number,supplier1_organization,supplier1_inn,supplier2_organization,supplier2_inn,supplier3_organization,supplier3_inn,supplier4_organization,supplier4_inn,supplier5_organization,supplier5_inn
2301509334921000004,/epz/contract/contractCard/common-info.html?reestrNumber=2301509334921000004,Исполнение завершено,"№ 
                                        
                                        08255000007210000410001","10 032 680,00 ₽",825500000721000041,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ДИ-БИ-ЭС""",6167141112,,,,,,,,
2890103836421000002,/epz/contract/contractCard/common-info.html?reestrNumber=2890103836421000002,Исполнение завершено,"№ 
                                        
                                        1884","1 200 000,00 ₽",190200000321001884,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ЦИФРОВАЯ КОМПАНИЯ ""КРИСТА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ЦИФРОВАЯ КОМПАНИЯ ""КРИСТА"")",7604350794,,,,,,,,
2201600388221000007,/epz/contract/contractCard/common-info.html?reestrNumber=2201600388221000007,Исполнение,"№ 
                                        
                                        ЭА/0906","20 458 415,00 ₽",194200000521000906,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКАЙ-БЮДЖЕТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКАЙ-БЮДЖЕТ"")",9717031182,,,,,,,,
1770989550921002069,/epz/contract/contractCard/common-info.html?reestrNumber=1770989550921002069,Исполнение,"№ 
                                        
                                        ФКУ0105/04/2021/РИС","280 000 000,00 ₽",895100000121000022,"АКЦИОНЕРНОЕ ОБЩЕСТВО ЛАБОРАТОРИЯ НОВЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ""ЛАНИТ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО ЛАБОРАТОРИЯ НОВЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ""ЛАНИТ"")",7727004113,,,,,,,,
2312344604821000010,/epz/contract/contractCard/common-info.html?reestrNumber=2312344604821000010,Исполнение завершено,"№ 
                                        
                                        9","9 100 000,00 ₽",126200000421000780,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕГРИКС""",7727730355,,,,,,,,
1770902424421000016,/epz/contract/contractCard/common-info.html?reestrNumber=1770902424421000016,Исполнение,"№ 
                                        
                                        002/ФРЦ/21","11 600 000,00 ₽",373100016421000002,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИТРОСДЭЙТА РУС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИТРОСДЭЙТА РУС"")",7729660520,,,,,,,,
3666100466121000026,/epz/contract/contractCard/common-info.html?reestrNumber=3666100466121000026,Исполнение завершено,"№ 
                                        
                                        ДИ.2021.347","1 100 000,00 ₽",162300005321000347,"Общество с ограниченной ответственностью ""Компания Экстрим про"" (Общество с ограниченной ответственностью ""Компания Экстрим про"")",6670082930,,,,,,,,
2771963160021000102,/epz/contract/contractCard/common-info.html?reestrNumber=2771963160021000102,Исполнение завершено,"№ 
                                        
                                        0373200101021000038_ЭК","2 500 000,00 ₽",373200101021000038,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ЗОЛЬД"" (ООО ""КОМПАНИЯ ЗОЛЬД"")",7709971862,,,,,,,,
3631580082021000008,/epz/contract/contractCard/common-info.html?reestrNumber=3631580082021000008,Исполнение завершено,"№ 
                                        
                                        15","566 805,50 ₽",342300000121000240,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЛАЙН"" (ООО ""СПЛАЙН"")",6313537877,,,,,,,,
2246619874421000012,/epz/contract/contractCard/common-info.html?reestrNumber=2246619874421000012,Исполнение завершено,"№ 
                                        
                                        212246619874424660100100380006201246","3 200 000,00 ₽",119200000121001285,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ"")",2463040452,,,,,,,,
2771482395821000016,/epz/contract/contractCard/common-info.html?reestrNumber=2771482395821000016,Исполнение,"№ 
                                        
                                        69-Р-041/21","28 250 000,00 ₽",873500000621000006,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ФАКТОР ПАЧОЛИ"" (ООО ""ЦИТ ФАКТОР ПАЧОЛИ"")",7733304549,,,,,,,,
2150100317021000004,/epz/contract/contractCard/common-info.html?reestrNumber=2150100317021000004,Исполнение завершено,"№ 
                                        
                                        0310200000321000525_115151","500 000,00 ₽",310200000321000525,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ ЦЕНТР ""БАЗИС"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ ЦЕНТР ""БАЗИС"")",1326209313,,,,,,,,
1770656053621000025,/epz/contract/contractCard/common-info.html?reestrNumber=1770656053621000025,Исполнение,"№ 
                                        
                                        0011-06-21","215 000 000,00 ₽",173100010921000011,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ"")",7707049388,,,,,,,,
1890102475621000050,/epz/contract/contractCard/common-info.html?reestrNumber=1890102475621000050,Исполнение завершено,"№ 
                                        
                                        87","410 105,76 ₽",390100007821000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕРРИТОРИЯ ПРАВА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕРРИТОРИЯ ПРАВА"")",8901014388,,,,,,,,
